"Location","mean_cattle_at_risk","median_cattle_at_risk","q25_cattle_at_risk","q75_cattle_at_risk","min_cattle_at_risk","max_cattle_at_risk"
"Total",4554617.086,4553037.5,4421741.5,4698856.25,3904766,5251200
"Southern Nations, Nationalities",2580878.23,2580778.5,2496052,2664133.75,2194780,2967690
"Oromia",1586088.777,1585420,1538981.5,1635976,1363276,1859892
"Benshangul-Gumaz",169357.871,169409.5,164317.5,174522.25,144716,195682
"Gambela Peoples",103824.569,103182.5,98865.5,108658.75,85382,129732
"Amhara",79662.63,79428.5,76775.25,82803,66416,96337
"Somali",28995.962,27273.5,26000.25,31023.75,7566,43425
"Addis Abeba",5809.031,6028,3924.75,7586,935,10647
"Afar",0,0,0,0,0,0
"Tigray",0,0,0,0,0,0
